record_id,transaction_date,transaction_timestamp,customer_name,product_category,amount,quantity,payment_method,last_updated_timestamp,status
1,2025-04-01,2025-04-01T17:49:57,Costco,Electronics,929.94,1,PayPal,2025-04-01T18:49:57,Pending
2,2025-04-01,2025-04-01T10:36:18,Apple,Groceries,130.17,4,PayPal,2025-04-01T12:59:18,Cancelled
3,2025-04-01,2025-04-01T17:16:47,Target,Home Goods,1333.76,8,Credit Card,2025-04-01T18:19:47,Pending
4,2025-04-01,2025-04-01T18:15:48,Costco,Tools,1115.54,9,PayPal,2025-04-01T20:41:48,Cancelled
5,2025-04-01,2025-04-01T02:37:35,Amazon,Software,633.14,6,Credit Card,2025-04-01T03:35:35,Cancelled
6,2025-04-01,2025-04-01T05:29:53,Target,Software,1975.65,3,PayPal,2025-04-01T05:41:53,Cancelled
7,2025-04-01,2025-04-01T00:23:41,Google,Books,1008.74,5,PayPal,2025-04-01T00:55:41,Cancelled
8,2025-04-01,2025-04-01T10:14:35,Microsoft,Software,1000.05,6,Credit Card,2025-04-01T11:44:35,Cancelled
9,2025-04-02,2025-04-02T01:42:16,Costco,Books,1451.95,6,Debit Card,2025-04-02T02:51:16,Completed
10,2025-04-02,2025-04-02T02:46:03,BestBuy,Electronics,740.41,5,PayPal,2025-04-02T04:27:03,Pending
11,2025-04-02,2025-04-02T01:32:18,Meta,Tools,1702.77,1,Bank Transfer,2025-04-02T01:38:18,Completed
12,2025-04-03,2025-04-03T04:36:39,Amazon,Home Goods,1897.62,4,Debit Card,2025-04-03T04:38:39,Completed
13,2025-04-03,2025-04-03T15:43:12,eBay,Groceries,1729.01,3,Credit Card,2025-04-03T15:58:12,Pending
14,2025-04-03,2025-04-03T10:45:00,BestBuy,Groceries,325.38,7,Debit Card,2025-04-03T13:30:00,Cancelled
15,2025-04-03,2025-04-03T23:58:41,Microsoft,Books,1850.19,2,PayPal,2025-04-03T23:59:59,Pending
16,2025-04-03,2025-04-03T12:11:42,Apple,Groceries,228.5,8,Bank Transfer,2025-04-03T12:38:42,Pending
17,2025-04-03,2025-04-03T12:53:51,eBay,Home Goods,336.42,4,Bank Transfer,2025-04-03T13:53:51,Pending
18,2025-04-03,2025-04-03T17:56:46,Meta,Books,1131.47,2,Credit Card,2025-04-03T19:53:46,Completed
19,2025-04-03,2025-04-03T15:17:40,eBay,Electronics,1920.23,2,Credit Card,2025-04-03T17:19:40,Completed
20,2025-04-04,2025-04-04T09:40:13,Apple,Books,292.3,1,Credit Card,2025-04-04T11:11:13,Cancelled
21,2025-04-04,2025-04-04T13:43:16,Target,Tools,1221.6,8,Debit Card,2025-04-04T16:12:16,Pending
22,2025-04-04,2025-04-04T14:44:14,Apple,Sports,1151.54,5,PayPal,2025-04-04T16:22:14,Pending
23,2025-04-04,2025-04-04T20:24:50,Microsoft,Books,46.34,4,Credit Card,2025-04-04T23:14:50,Cancelled
24,2025-04-04,2025-04-04T14:05:25,Apple,Tools,599.3,6,PayPal,2025-04-04T14:09:25,Completed
25,2025-04-05,2025-04-05T18:02:27,Google,Books,467.64,8,PayPal,2025-04-05T19:17:27,Cancelled
26,2025-04-05,2025-04-05T17:23:32,eBay,Groceries,1433.07,6,Debit Card,2025-04-05T20:22:32,Pending
27,2025-04-05,2025-04-05T13:08:58,eBay,Home Goods,1057.13,3,Debit Card,2025-04-05T14:48:58,Completed
28,2025-04-05,2025-04-05T10:52:56,Walmart,Home Goods,52.67,9,Credit Card,2025-04-05T13:45:56,Pending
29,2025-04-05,2025-04-05T07:35:48,Microsoft,Electronics,1922.76,10,Credit Card,2025-04-05T08:35:48,Cancelled
30,2025-04-05,2025-04-05T08:53:58,Target,Software,1340.34,5,Debit Card,2025-04-05T10:39:58,Pending
31,2025-04-05,2025-04-05T13:15:06,Costco,Sports,1261.39,7,Bank Transfer,2025-04-05T14:37:06,Pending
32,2025-04-05,2025-04-05T02:55:29,eBay,Books,558.26,5,Bank Transfer,2025-04-05T05:31:29,Completed
33,2025-04-06,2025-04-06T09:59:34,Meta,Tools,412.54,7,Bank Transfer,2025-04-06T12:11:34,Pending
34,2025-04-06,2025-04-06T12:59:56,Apple,Electronics,1495.79,10,PayPal,2025-04-06T14:26:56,Pending
35,2025-04-06,2025-04-06T06:04:10,Google,Electronics,886.85,9,PayPal,2025-04-06T08:08:10,Pending
36,2025-04-06,2025-04-06T15:06:03,Target,Tools,1143.74,5,Credit Card,2025-04-06T17:43:03,Completed
37,2025-04-06,2025-04-06T07:33:09,Target,Apparel,485.04,8,Bank Transfer,2025-04-06T10:25:09,Completed
38,2025-04-06,2025-04-06T11:14:29,Costco,Sports,65.38,9,PayPal,2025-04-06T13:22:29,Pending
39,2025-04-06,2025-04-06T00:02:20,Meta,Apparel,1625.25,5,PayPal,2025-04-06T01:31:20,Completed
40,2025-04-06,2025-04-06T10:25:03,eBay,Books,302.56,4,Bank Transfer,2025-04-06T12:32:03,Cancelled
41,2025-04-07,2025-04-07T02:32:35,eBay,Tools,632.78,4,Credit Card,2025-04-07T04:21:35,Completed
42,2025-04-07,2025-04-07T21:35:41,Walmart,Groceries,477.71,8,Debit Card,2025-04-07T21:37:41,Pending
43,2025-04-07,2025-04-07T04:02:50,eBay,Home Goods,819.25,6,Credit Card,2025-04-07T05:41:50,Cancelled
44,2025-04-07,2025-04-07T16:56:14,Costco,Apparel,216.52,8,Debit Card,2025-04-07T19:29:14,Completed
45,2025-04-07,2025-04-07T19:09:26,BestBuy,Electronics,1284.24,7,Debit Card,2025-04-07T21:33:26,Pending
46,2025-04-08,2025-04-08T03:52:22,Meta,Tools,736.48,9,PayPal,2025-04-08T05:29:22,Completed
47,2025-04-08,2025-04-08T15:02:51,Target,Tools,377.11,7,Bank Transfer,2025-04-08T15:06:51,Pending
48,2025-04-08,2025-04-08T07:19:40,BestBuy,Books,1185.19,8,Credit Card,2025-04-08T10:18:40,Pending
49,2025-04-08,2025-04-08T10:22:22,Google,Apparel,1710.99,9,Bank Transfer,2025-04-08T12:54:22,Pending
50,2025-04-08,2025-04-08T06:17:39,Google,Electronics,861.28,9,Debit Card,2025-04-08T06:52:39,Completed
51,2025-04-08,2025-04-08T14:33:40,Google,Tools,1720.24,8,Debit Card,2025-04-08T15:23:40,Completed
52,2025-04-09,2025-04-09T01:49:03,Costco,Software,1987.29,8,PayPal,2025-04-09T04:42:03,Completed
53,2025-04-09,2025-04-09T10:19:30,Google,Books,1416.25,9,PayPal,2025-04-09T11:22:30,Completed
54,2025-04-09,2025-04-09T06:58:57,Costco,Home Goods,624.43,2,PayPal,2025-04-09T09:35:57,Cancelled
55,2025-04-10,2025-04-10T08:16:34,Microsoft,Sports,1916.8,3,Bank Transfer,2025-04-10T10:18:34,Cancelled
56,2025-04-10,2025-04-10T23:13:09,Apple,Sports,837.0,5,Credit Card,2025-04-10T23:59:59,Completed
57,2025-04-10,2025-04-10T10:15:08,eBay,Books,1051.81,2,PayPal,2025-04-10T10:38:08,Completed
58,2025-04-10,2025-04-10T20:29:11,Meta,Sports,1361.52,5,Debit Card,2025-04-10T21:33:11,Pending
59,2025-04-10,2025-04-10T03:16:18,Apple,Home Goods,1927.3,5,Debit Card,2025-04-10T04:51:18,Pending
