transaction_id,transaction_date,transaction_timestamp,customer,category,quantity,amount,total_price,payment_type,status
1,2025-04-01,2025-04-01 17:49:57,Costco,Electronics,1,929.94,929.94,PayPal,Pending
2,2025-04-01,2025-04-01 10:36:18,Apple,Groceries,4,130.17,520.68,PayPal,Cancelled
3,2025-04-01,2025-04-01 17:16:47,Target,Home Goods,8,1333.76,10670.08,Credit Card,Pending
4,2025-04-01,2025-04-01 18:15:48,Costco,Tools,9,1115.54,10039.86,PayPal,Cancelled
5,2025-04-01,2025-04-01 02:37:35,Amazon,Software,6,633.14,3798.84,Credit Card,Cancelled
6,2025-04-01,2025-04-01 05:29:53,Target,Software,3,1975.65,5926.950000000001,PayPal,Cancelled
7,2025-04-01,2025-04-01 00:23:41,Google,Books,5,1008.74,5043.7,PayPal,Cancelled
8,2025-04-01,2025-04-01 10:14:35,Microsoft,Software,6,1000.05,6000.299999999999,Credit Card,Cancelled
9,2025-04-02,2025-04-02 01:42:16,Costco,Books,6,1451.95,8711.7,Debit Card,Completed
10,2025-04-02,2025-04-02 02:46:03,BestBuy,Electronics,5,740.41,3702.0499999999997,PayPal,Pending
11,2025-04-02,2025-04-02 01:32:18,Meta,Tools,1,1702.77,1702.77,Bank Transfer,Completed
12,2025-04-03,2025-04-03 04:36:39,Amazon,Home Goods,4,1897.62,7590.48,Debit Card,Completed
13,2025-04-03,2025-04-03 15:43:12,eBay,Groceries,3,1729.01,5187.03,Credit Card,Pending
14,2025-04-03,2025-04-03 10:45:00,BestBuy,Groceries,7,325.38,2277.66,Debit Card,Cancelled
15,2025-04-03,2025-04-03 23:58:41,Microsoft,Books,2,1850.19,3700.38,PayPal,Pending
16,2025-04-03,2025-04-03 12:11:42,Apple,Groceries,8,228.5,1828.0,Bank Transfer,Pending
17,2025-04-03,2025-04-03 12:53:51,eBay,Home Goods,4,336.42,1345.68,Bank Transfer,Pending
18,2025-04-03,2025-04-03 17:56:46,Meta,Books,2,1131.47,2262.94,Credit Card,Completed
19,2025-04-03,2025-04-03 15:17:40,eBay,Electronics,2,1920.23,3840.46,Credit Card,Completed
20,2025-04-04,2025-04-04 09:40:13,Apple,Books,1,292.3,292.3,Credit Card,Cancelled
21,2025-04-04,2025-04-04 13:43:16,Target,Tools,8,1221.6,9772.8,Debit Card,Pending
22,2025-04-04,2025-04-04 14:44:14,Apple,Sports,5,1151.54,5757.7,PayPal,Pending
23,2025-04-04,2025-04-04 20:24:50,Microsoft,Books,4,46.34,185.36,Credit Card,Cancelled
24,2025-04-04,2025-04-04 14:05:25,Apple,Tools,6,599.3,3595.7999999999997,PayPal,Completed
25,2025-04-05,2025-04-05 18:02:27,Google,Books,8,467.64,3741.12,PayPal,Cancelled
26,2025-04-05,2025-04-05 17:23:32,eBay,Groceries,6,1433.07,8598.42,Debit Card,Pending
27,2025-04-05,2025-04-05 13:08:58,eBay,Home Goods,3,1057.13,3171.3900000000003,Debit Card,Completed
28,2025-04-05,2025-04-05 10:52:56,Walmart,Home Goods,9,52.67,474.03000000000003,Credit Card,Pending
29,2025-04-05,2025-04-05 07:35:48,Microsoft,Electronics,10,1922.76,19227.6,Credit Card,Cancelled
30,2025-04-05,2025-04-05 08:53:58,Target,Software,5,1340.34,6701.7,Debit Card,Pending
31,2025-04-05,2025-04-05 13:15:06,Costco,Sports,7,1261.39,8829.730000000001,Bank Transfer,Pending
32,2025-04-05,2025-04-05 02:55:29,eBay,Books,5,558.26,2791.3,Bank Transfer,Completed
33,2025-04-06,2025-04-06 09:59:34,Meta,Tools,7,412.54,2887.78,Bank Transfer,Pending
34,2025-04-06,2025-04-06 12:59:56,Apple,Electronics,10,1495.79,14957.9,PayPal,Pending
35,2025-04-06,2025-04-06 06:04:10,Google,Electronics,9,886.85,7981.650000000001,PayPal,Pending
36,2025-04-06,2025-04-06 15:06:03,Target,Tools,5,1143.74,5718.7,Credit Card,Completed
37,2025-04-06,2025-04-06 07:33:09,Target,Apparel,8,485.04,3880.32,Bank Transfer,Completed
38,2025-04-06,2025-04-06 11:14:29,Costco,Sports,9,65.38,588.42,PayPal,Pending
39,2025-04-06,2025-04-06 00:02:20,Meta,Apparel,5,1625.25,8126.25,PayPal,Completed
40,2025-04-06,2025-04-06 10:25:03,eBay,Books,4,302.56,1210.24,Bank Transfer,Cancelled
41,2025-04-07,2025-04-07 02:32:35,eBay,Tools,4,632.78,2531.12,Credit Card,Completed
42,2025-04-07,2025-04-07 21:35:41,Walmart,Groceries,8,477.71,3821.68,Debit Card,Pending
43,2025-04-07,2025-04-07 04:02:50,eBay,Home Goods,6,819.25,4915.5,Credit Card,Cancelled
44,2025-04-07,2025-04-07 16:56:14,Costco,Apparel,8,216.52,1732.16,Debit Card,Completed
45,2025-04-07,2025-04-07 19:09:26,BestBuy,Electronics,7,1284.24,8989.68,Debit Card,Pending
46,2025-04-08,2025-04-08 03:52:22,Meta,Tools,9,736.48,6628.32,PayPal,Completed
47,2025-04-08,2025-04-08 15:02:51,Target,Tools,7,377.11,2639.77,Bank Transfer,Pending
48,2025-04-08,2025-04-08 07:19:40,BestBuy,Books,8,1185.19,9481.52,Credit Card,Pending
